ratio,type,score,peaks
0.01,Random,5.727958936073589,646
0.01,Random,5.051246603638718,646
0.01,Random,4.610059340765569,641
0.01,Random,5.898798014186058,651
0.01,Random,5.027076774889473,647
0.01,Random,5.733768935087921,646
0.01,Random,5.7956306661924835,650
0.01,Random,5.369063656024102,646
0.01,Random,5.6479995201698925,639
0.01,Random,5.3782900477785,640
0.01,Random,5.534634963968658,648
0.01,Random,4.725533699037578,637
0.01,Random,4.862007862549448,644
0.01,Random,6.278255497023606,649
0.01,Random,5.202765415161943,643
0.01,Random,4.799152747107604,639
0.01,Random,5.150326990372279,645
0.01,Random,5.738686179414221,645
0.01,Random,5.600793060630575,644
0.01,Random,5.995661094495792,647
0.01,Random,5.471376578362166,645
0.01,Random,5.30039510295601,645
0.01,Random,6.0444055441232845,645
0.01,Random,6.152106026506053,643
0.01,Random,5.73401694273194,645
0.01,Random,5.342379272761941,644
0.01,Random,5.11119175090573,646
0.01,Random,6.363990397423452,645
0.01,Random,5.6658537407232625,650
0.01,Random,6.145277440344946,644
0.01,Random,5.545206195736277,645
0.01,Random,4.921851360876515,648
0.01,Random,6.525777819760592,638
0.01,Random,7.498467870347299,645
0.01,Random,5.71718051821721,648
0.01,Random,5.75088707602369,648
0.01,Random,6.17073318119218,647
0.01,Random,5.354689393648899,648
0.01,Random,5.272153963983066,644
0.01,Random,5.032825452011398,644
0.01,Random,5.5868712078416145,646
0.01,Random,5.487967391272523,650
0.01,Random,5.202059047738263,648
0.01,Random,6.004913634489055,642
0.01,Random,6.141269405467878,648
0.01,Random,5.520444760794111,645
0.01,Random,6.517786714757655,645
0.01,Random,5.433180316461217,646
0.01,Random,5.745716625471278,647
0.01,Random,5.715106697413881,644
0.01,Random,4.815113057127103,646
0.01,Random,6.380351578769835,644
0.01,Random,4.36105628793575,643
0.01,Random,6.666733644828056,645
0.01,Random,5.90118794384287,649
0.01,Random,5.104984905981762,647
0.01,Random,5.303092640333971,639
0.01,Random,5.999511005320729,642
0.01,Random,5.292673676206258,646
0.01,Random,5.203268757038908,642
0.01,Random,5.608995768467943,648
0.01,Random,4.969698482731263,648
0.01,Random,4.4757810480582885,646
0.01,Random,5.590738687004744,644
0.01,Random,6.131212930612797,645
0.01,Random,6.349272132989428,649
0.01,Random,5.884989742687253,646
0.01,Random,5.834850691101601,644
0.01,Random,5.761441786088259,640
0.01,Random,5.8024515748465095,648
0.01,Random,5.468946717055639,642
0.01,Random,6.238256652920849,645
0.01,Random,6.630554997095488,644
0.01,Random,6.1979628771389095,647
0.01,Random,5.452055805373044,640
0.01,Random,6.322275458959485,639
0.01,Random,5.208174187261869,637
0.01,Random,5.421374423257598,649
0.01,Random,5.704279417837979,645
0.01,Random,5.406544364383883,643
0.01,Random,6.417081146713045,648
0.01,Random,5.409214318778547,644
0.01,Random,6.312940331434016,642
0.01,Random,4.874622338274678,648
0.01,Random,5.325978309183352,651
0.01,Random,5.449941417650705,647
0.01,Random,6.027370445465486,644
0.01,Random,5.248403745089601,644
0.01,Random,7.111640620716416,645
0.01,Random,5.501076207706952,649
0.01,Random,5.38888851273158,650
0.01,Random,5.621506471321777,644
0.01,Random,4.96017206017006,646
0.01,Random,5.372730065200159,642
0.01,Random,6.293859021990771,652
0.01,Random,4.915125754926988,648
0.01,Random,5.364616283244406,644
0.01,Random,6.4129520889905,646
0.01,Random,5.8403980944695,650
0.01,Random,4.983785090462704,642
0.01,AES,5.702112401898187,644
0.02,Random,2.896280154282289,1276
0.02,Random,3.3243241574578906,1263
0.02,Random,3.444022664576176,1261
0.02,Random,2.8128051211423784,1270
0.02,Random,2.7171181084052294,1277
0.02,Random,2.856314344876651,1278
0.02,Random,2.812097982289427,1269
0.02,Random,2.9661707646892586,1275
0.02,Random,2.6833490277425214,1272
0.02,Random,3.061344399638989,1279
0.02,Random,2.803020561231414,1266
0.02,Random,3.1751760575108046,1265
0.02,Random,3.0229895354083793,1263
0.02,Random,3.439577992989849,1270
0.02,Random,2.900952128599989,1277
0.02,Random,3.2931689862480464,1260
0.02,Random,2.4021703812882462,1274
0.02,Random,3.187362297163082,1266
0.02,Random,2.6414354130565263,1274
0.02,Random,2.7632059437232512,1272
0.02,Random,3.3596500106910807,1276
0.02,Random,2.8162839638567805,1269
0.02,Random,3.08742319434356,1280
0.02,Random,3.1331105512831874,1279
0.02,Random,3.042777202473708,1267
0.02,Random,2.7216217065034054,1265
0.02,Random,2.719241274719167,1277
0.02,Random,2.9203773293435407,1265
0.02,Random,2.9713467935930336,1271
0.02,Random,2.8802736592341387,1277
0.02,Random,2.969907384946233,1276
0.02,Random,3.3903873583629727,1274
0.02,Random,2.91162487624401,1277
0.02,Random,2.577598291438763,1281
0.02,Random,3.184423099764354,1281
0.02,Random,2.988062103701371,1284
0.02,Random,2.8727626800132167,1272
0.02,Random,2.88511916527622,1274
0.02,Random,2.722472049641718,1277
0.02,Random,2.658653021330346,1268
0.02,Random,3.1723692179461422,1267
0.02,Random,3.304512370502333,1273
0.02,Random,2.6318047774870026,1277
0.02,Random,2.66332578438629,1271
0.02,Random,2.944420189548574,1272
0.02,Random,2.8934759025907955,1270
0.02,Random,2.740672405695416,1278
0.02,Random,2.9836324761544213,1271
0.02,Random,2.789982086794206,1270
0.02,Random,2.8204831097480976,1266
0.02,Random,2.988607720495871,1263
0.02,Random,3.035746953856933,1282
0.02,Random,2.9709973089512305,1270
0.02,Random,3.2425355959643887,1273
0.02,Random,2.811804860726224,1275
0.02,Random,3.0437067415487884,1280
0.02,Random,2.9387597622590578,1275
0.02,Random,3.2301227868648525,1267
0.02,Random,2.6033082208369485,1284
0.02,Random,3.239014385295931,1268
0.02,Random,3.0373765737355667,1278
0.02,Random,3.1084851703645735,1278
0.02,Random,3.290070559115251,1282
0.02,Random,3.645118675589201,1281
0.02,Random,3.0116152513202548,1268
0.02,Random,2.9496514340419107,1265
0.02,Random,2.954341020216128,1270
0.02,Random,2.998562919909445,1264
0.02,Random,2.803956598117662,1274
0.02,Random,3.1596861312277373,1270
0.02,Random,2.5711842361549007,1269
0.02,Random,3.0632942252149147,1278
0.02,Random,2.9224408445811143,1269
0.02,Random,3.3596308561742503,1277
0.02,Random,2.739717419053688,1280
0.02,Random,2.5924216097166455,1268
0.02,Random,3.1456864553748813,1270
0.02,Random,2.4978108697733776,1281
0.02,Random,2.8785224579006066,1262
0.02,Random,3.0027374042675747,1276
0.02,Random,2.8957735234681645,1271
0.02,Random,3.0507347355813486,1274
0.02,Random,3.4996850033965354,1278
0.02,Random,3.520818685355858,1272
0.02,Random,2.998395749401023,1265
0.02,Random,3.371768655542064,1267
0.02,Random,3.2381961977339024,1283
0.02,Random,3.3681916798369467,1275
0.02,Random,3.014310747546839,1274
0.02,Random,3.0507279624309596,1276
0.02,Random,3.127336084368041,1264
0.02,Random,3.010761829115616,1267
0.02,Random,2.8648234362876273,1281
0.02,Random,2.746291915247208,1279
0.02,Random,3.2925794573016303,1269
0.02,Random,2.8580362053609614,1277
0.02,Random,3.088769228676127,1272
0.02,Random,3.0447240680361936,1277
0.02,Random,2.759552881441171,1273
0.02,Random,3.078429247668006,1274
0.02,AES,2.806452862195367,1287
0.05,Random,1.239899731967094,3030
0.05,Random,1.3018839870291914,3068
0.05,Random,1.207695424163247,3038
0.05,Random,1.3957517143262186,3046
0.05,Random,1.2619267806592978,3036
0.05,Random,1.3851691756063387,3026
0.05,Random,1.1763718801683762,3035
0.05,Random,1.24893565013607,3055
0.05,Random,1.2896998694026494,3056
0.05,Random,1.0474798310786677,3054
0.05,Random,1.257060597796247,3005
0.05,Random,1.3000137505610354,3052
0.05,Random,1.2189444179544358,3077
0.05,Random,1.4432845492569368,3022
0.05,Random,1.2873159542633874,3022
0.05,Random,1.4588988762266897,3055
0.05,Random,1.2334115963573322,3026
0.05,Random,1.1829492245175377,3046
0.05,Random,0.926706956716545,3067
0.05,Random,1.352779437406182,3027
0.05,Random,1.140812293040086,3048
0.05,Random,1.2308844971563706,3046
0.05,Random,1.3522598205580092,3045
0.05,Random,0.9976621242613313,3052
0.05,Random,1.2172039298205437,3049
0.05,Random,1.1229159474298729,3043
0.05,Random,1.176205194117218,3041
0.05,Random,1.2626566527672864,3041
0.05,Random,1.1298024028181355,3051
0.05,Random,1.24967171962412,3045
0.05,Random,1.2451223915443093,3065
0.05,Random,1.2830251319784018,3050
0.05,Random,1.1894483196585368,3041
0.05,Random,1.29188609437838,3031
0.05,Random,1.1158507409047318,3058
0.05,Random,1.1992676351871794,3050
0.05,Random,1.2921808916626938,3028
0.05,Random,1.31421650158004,3042
0.05,Random,1.2278352576495755,3019
0.05,Random,1.1930946785050787,3056
0.05,Random,1.1421044317064852,3054
0.05,Random,1.226218869395982,3053
0.05,Random,1.0947774636643628,3055
0.05,Random,1.1179808067652368,3048
0.05,Random,1.0950788529294546,3017
0.05,Random,1.2633016519801372,3033
0.05,Random,1.1523638601210782,3052
0.05,Random,1.0560004089085613,3044
0.05,Random,1.2715045957973339,3035
0.05,Random,1.2132596005190803,3049
0.05,Random,1.1841706291210528,3034
0.05,Random,1.234434995409467,3061
0.05,Random,1.3237190776540368,3047
0.05,Random,1.1486051421341608,3068
0.05,Random,1.4105494271341774,3046
0.05,Random,1.3370070709143858,3025
0.05,Random,1.1706036016164714,3014
0.05,Random,1.3876187295860436,3053
0.05,Random,1.3460278451546546,3052
0.05,Random,1.2022456116177898,3053
0.05,Random,1.2837237242381967,3048
0.05,Random,1.3545593633849933,3017
0.05,Random,1.3317622726619192,3059
