type,sample_id,max_local_pcc
Benign,0,3.30796444353226
Benign,1,2.874728429308348
Benign,2,3.514918842119773
Benign,3,3.19683656194805
Benign,4,4.699538866481937
Benign,5,4.456902765342917
Benign,6,2.9845849498501025
Benign,7,4.117577816330268
Benign,8,4.1918253261491465
Benign,9,3.8219938536331526
Benign,10,2.2359288507627504
Benign,11,4.637714025047742
Benign,12,3.047262371470751
Benign,13,3.4474803564111376
Benign,14,2.3301559015632023
Benign,15,3.9641840276638973
Benign,16,2.8761424437480514
Benign,17,3.0122279316510294
Benign,18,3.089672974043765
Benign,19,3.081451154470745
Benign,20,3.8020891770758283
Benign,21,3.156737142840772
Benign,22,3.3574993350162607
Benign,23,3.0431442011115486
Benign,24,3.317052631102147
Benign,25,2.977454196794639
Benign,26,2.715728179146897
Benign,27,3.1166215230981216
Benign,28,2.7983462702575395
Benign,29,3.225806728239366
Benign,30,2.7575734173963724
Benign,31,3.921401233192107
Benign,32,2.983273221704952
Benign,33,3.05768311025156
Benign,34,3.3962896608567945
Benign,35,2.889621192522725
Benign,36,3.0126346199558363
Benign,37,2.085331743495974
Benign,38,2.2742136415160275
Benign,39,3.032625627895573
Benign,40,3.7277600068993735
Benign,41,2.839754930263311
Benign,42,3.4780782353106616
Benign,43,3.7599483078922447
Benign,44,3.3079698496203385
Benign,45,3.128502326721943
Benign,46,2.633308077744587
Benign,47,3.3998786264760383
Benign,48,3.4427026603231496
Benign,49,2.941627585437473
Infected,0,5.217995028381132
Infected,1,5.30161941308538
Infected,2,5.987476732224589
Infected,3,4.282022647130194
Infected,4,3.5113088550991733
Infected,5,3.5846156622653638
Infected,6,2.532873313385579
Infected,7,5.082544859100526
Infected,8,5.327990467754496
Infected,9,3.138304297120527
Infected,10,6.412640480434188
Infected,11,5.2757063729803555
Infected,12,6.105682585414044
Infected,13,6.220926743713626
Infected,14,3.887380503178779
Infected,15,4.664265017393053
Infected,16,4.946997561361318
Infected,17,5.075839125350406
Infected,18,3.329788571757323
Infected,19,3.6289023456479583
Infected,20,5.104818057487755
Infected,21,3.1623832145584316
Infected,22,4.0642730661391795
Infected,23,5.7130496728172595
Infected,24,3.591790915181466
Infected,25,5.669469205239565
Infected,26,4.506979072302684
Infected,27,3.2596851543328
Infected,28,4.206961268161866
Infected,29,6.4728319303882635
Infected,30,5.04196122459804
Infected,31,3.948706524058469
Infected,32,3.9277392718416344
Infected,33,3.8528252567003882
Infected,34,4.090077357653868
Infected,35,5.171548495823277
Infected,36,5.26313042550294
Infected,37,4.612589155244539
Infected,38,3.9606984600577775
Infected,39,5.528163615891216
Infected,40,3.807796659287934
Infected,41,4.240332354804082
Infected,42,4.704803125868683
Infected,43,5.937294032744692
Infected,44,5.522484062489088
Infected,45,3.469591245457167
Infected,46,7.1037268454461895
Infected,47,3.719919807010033
Infected,48,4.297346694693033
Infected,49,5.781369391330998
