depth,size,sample,sensitivity,pcc,on_set_size
2,10,0,1.0,71.58688030024548,512
2,10,1,1.0,102.80420988806652,256
2,10,2,1.25,49.96675369272326,640
2,10,3,1.0,33.26611728854493,768
2,10,4,1.0,37.14580995809218,768
2,10,5,1.0,103.45421305694659,256
2,10,6,1.0,35.156174459604316,768
2,10,7,1.0,37.118088920027915,768
2,10,8,1.0,67.00855068023617,512
2,10,9,1.0,38.512189689793296,768
2,10,10,1.0,68.45768775469035,512
2,10,11,1.0,103.06773259976708,256
2,10,12,1.25,48.52680688095742,640
2,10,13,1.0,34.95148811542791,768
2,10,14,1.25,45.021801563618666,640
2,10,15,0.75,29.130211094953733,896
2,10,16,1.0,67.66757951257134,512
2,10,17,1.0,35.07831146314921,768
2,10,18,1.0,67.9045864826446,512
2,10,19,1.0,66.81874674096157,512
2,20,0,1.0,66.05349805248123,512
2,20,1,1.0,67.14953172053595,512
2,20,2,1.0,103.5787239336599,256
2,20,3,1.0,102.56819372563227,256
2,20,4,1.0,102.43980896314706,256
2,20,5,1.0,69.75188204632104,512
2,20,6,1.25,91.33784251721372,384
2,20,7,1.0,34.287906770416186,768
2,20,8,1.0,37.1668734672937,768
2,20,9,1.25,91.8677942356712,384
2,20,10,1.0,38.503170594250925,768
2,20,11,1.0,102.9494275078488,256
2,20,12,1.0,68.9796581975485,512
2,20,13,1.25,92.10639991937438,384
2,20,14,1.25,93.18304631054299,384
2,20,15,1.25,92.95968977196054,384
2,20,16,1.0,103.22403874799399,256
2,20,17,1.0,65.80777695713091,512
2,20,18,1.0,67.20825072137156,512
2,20,19,1.0,67.24797810954493,512
2,30,0,0.75,28.07148484818541,896
2,30,1,0.75,26.64244551343109,896
2,30,2,0.75,43.44087777356171,128
2,30,3,0.75,30.423042208328784,896
2,30,4,1.0,66.45726906940621,512
2,30,5,1.25,49.646878581490284,640
2,30,6,1.25,92.62326919760028,384
2,30,7,0.75,29.90002878126259,896
2,30,8,1.0,37.95406217161621,768
2,30,9,1.0,37.402146302242016,768
2,30,10,1.5,54.08270835981399,576
2,30,11,1.0,68.97044714809425,512
2,30,12,1.0,103.29245090571465,256
2,30,13,0.75,43.67535952192342,128
2,30,14,0.75,27.21240793061714,896
2,30,15,1.25,93.89533265727836,384
2,30,16,0.75,30.43683960429002,896
2,30,17,1.0,71.73938375769765,512
2,30,18,1.0,36.852671329717396,768
2,30,19,1.0,37.21839018337652,768
2,40,0,1.0,67.44892744624619,512
2,40,1,1.0,70.61254589810129,512
2,40,2,1.0,36.03945106099242,768
2,40,3,1.0,70.25370831677401,512
2,40,4,1.0,68.16732319473137,512
2,40,5,1.0,38.70793255234179,768
2,40,6,1.25,47.24208722646847,640
2,40,7,1.25,95.68786422021239,384
2,40,8,1.0,37.92219691809831,768
2,40,9,0.75,43.04693347676913,128
2,40,10,0.5,25.127512822533838,960
2,40,11,1.0,39.10942124521723,768
2,40,12,1.0,69.88481397768713,512
2,40,13,1.0,67.52275585785661,512
2,40,14,1.0,104.0235488502646,256
2,40,15,1.0,65.90657374496706,512
2,40,16,1.25,48.50532795739409,640
2,40,17,0.75,29.36614322345299,896
2,40,18,1.0,68.94616821447092,512
2,40,19,1.0,102.73573663018018,256
2,50,0,1.0,69.86648682563992,512
2,50,1,1.5,73.58279660689496,448
2,50,2,1.25,93.55413047925339,384
2,50,3,0.75,28.615515847520168,896
2,50,4,1.0,66.88599613225325,512
2,50,5,1.0,66.64972820365924,512
2,50,6,1.0,35.78259470118401,768
2,50,7,1.0,66.82693137035135,512
2,50,8,1.0,66.77102678346756,512
2,50,9,1.5,54.721919027465496,576
2,50,10,1.0,33.89076975393334,768
2,50,11,1.0,33.35198897641091,768
2,50,12,0.75,31.708474740042487,896
2,50,13,1.0,38.360298827490595,768
2,50,14,1.0,38.511238781260616,768
2,50,15,0.75,29.319896998025655,896
2,50,16,1.0,68.95985790180045,512
2,50,17,1.25,93.32635690988732,384
2,50,18,1.0,69.32383439464736,192
2,50,19,1.0,102.05257354146265,256
2,60,0,1.0,37.27381766271406,768
2,60,1,1.0,103.01735796170252,256
2,60,2,1.0,103.54959551266573,256
2,60,3,1.0,68.36458118224644,512
2,60,4,1.0,37.62195729677062,768
2,60,5,1.5,71.757128370299,448
2,60,6,1.25,94.23771768837928,384
2,60,7,1.0,102.95738446627215,256
2,60,8,1.0,103.31433130378838,256
2,60,9,1.0,67.91417862741453,512
2,60,10,1.0,102.82837426087929,256
2,60,11,1.0,67.86593184990866,512
2,60,12,1.25,44.74669660223469,640
2,60,13,1.0,67.95462181822131,512
2,60,14,1.0,103.00640251737204,256
2,60,15,0.75,43.12679552272719,128
2,60,16,1.0,69.38516655471027,512
2,60,17,1.0,103.29393868770933,256
2,60,18,1.0,38.354121259137465,768
2,60,19,0.75,43.79580555862142,128
2,70,0,1.0,69.34477256047099,192
2,70,1,1.0,71.63939448938149,512
